UUID,id,NEW_title,NEW_abstract,NEW_keywords_theme,NEW_keywords_place,NEW_topic_categories,NEW_link_download,NEW_link_information,NEW_link_service_esri,NEW_link_service_wms,NEW_distribution_format,NEW_date_publication,NEW_date_revision,originator,publisher,datasetURI
7d839c41-601e-4947-9cb8-26ec8003c2e0,840899,TSigns_pts,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/Traffic-Signs/nqdp-yans,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,TSigns_pts
0fb0f0c4-2c3d-4233-b4f4-255500917dd3,840924,Hard2Count,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/2010-Hard-To-Count-Sites/rdag-2fyy,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Hard2Count
45ca18ac-5a48-435e-a56a-5bd08f3cdc30,840925,Grandmont Rosedale,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Grandmont Rosedale
37d61f15-bcea-48f6-bd62-e7cf5b0625f2,840926,Freeways,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Freeways
43b8339f-5cd1-481a-984c-fc1d5ace7026,840927,FreewayNames,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/Freeway-Names/63nh-ijfg,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,FreewayNames
2868ccdf-d396-4c63-aeb4-f4c1b084353e,840920,Libraries,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Education/Detroit-Public-Libraries/exqw-7q3h,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Libraries
df130e46-3e1d-4316-adf7-a57bdc6d2479,840959,2014_NonFatal,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Public-Safety/DPD-2014-Non-Fatal-Shooting-Offenses-Victims-Confi/4wuc-9ay9,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,2014_NonFatal
cfcbdc6d-2d6d-437a-810d-0b15a1b53576,840952,Blockgroup2000_MGFv7b,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/2000-Census-Block-Groups/2u3u-mrvu,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Blockgroup2000_MGFv7b
27323ffe-f03d-45d7-9b74-5e063d740a7f,840953,Aviation Sub,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Aviation Sub
b1a5ecd8-5d33-4746-9794-f3adbf9492e3,840954,AllSignals_121415_2,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/Traffic-Signals/dkav-a7rb,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,AllSignals_121415_2
